Proveedor,Marca,Group,Sub Grupo,Codigo Secundario,Codigo,Descripcion,Costo,Iva,PVP,% Rent,Unid.,Cant.,Und. X Cja,Cant. Emb.,Uni. Emb.,Total
N/D,GENERAL,GENERAL,GENERAL,03-004-08-0226,03-004-08-0226,DISCO FRENO CHEVROLET GRAND VITARA SZ 08 - DEL VENTILADO 294MM,19.6429,15,36,83.27%,UNI,0,0,0,N/D,0
N/D,YOSAI,GENERAL,GENERAL,221RN03A109,221RN03A109,ELECTRORADIADOR RENAULT LOGAN 1.6 04- 14 COMPLETO ( YOSAI ),23.38,15,65,141.75%,UNI,2,0,0,N/D,46.76
N/D,GENERAL,GENERAL,GENERAL,CN_HQ21-24008-1,CN_HQ21-24008-1,GUARDACHOQUE DELANTERO GREAT WALL POER 2.0 ( DEIFO ),40,15,80,73.91%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,YRJ01- NRO18-101-R,02-001-22-1275/,GUARDAFANGO DEL KIA NIRO 18- RH B/2 ( HK ),64.09,15,170,130.65%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,W7044,W7044,LIMPIADOR DE CARBURADOR 650 ML ( WUNSCHER ),2.55,15,7,174.51%,UNI,12,0,0,N/D,30.6
N/D,GENERAL,GENERAL,GENERAL,GRW-02-018-0003,GRW-02-018-0003,MANGUERA SALIDA AIRE DEPURADOS WINGLE 3 / 5,25,15,35,21.74%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,96416289,96416289,MEDIDOR ACEITE CHEVROLET SPARK GT 1.2 2020,9.9375,15,20,101.26%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,2904300-B01,2904300-B01,MESA DELANTERA INFERIOR SHINERAY X30 1.5,8,15,28,204.35%,UNI,0,0,0,N/D,0
AUTOEXPRESS,BM,GENERAL,GENERAL,02-002-19-0495,FP.254,NEBLINERO HYUNDAI ACCENT 12- 19 LH ( BM ),6.54,15,20,165.92%,UNI,2,0,0,N/D,13.08
AUTOEXPRESS,BM,GENERAL,GENERAL,02-002-19-0496,FP.255,NEBLINERO HYUNDAI ACCENT 12- 19 RH ( BM ),6.54,15,20,165.92%,UNI,2,0,0,N/D,13.08
N/D,GENERAL,GENERAL,GENERAL,2232,2232,PILA 2232,0.5,15,3,500%,UNI,0,0,0,N/D,0
N/D,YOSAI,GENERAL,GENERAL,9015625,261CV20A019,RADIADOR CHEVROLET N200 11- 14 22MM ( YOSAI ),18.03,15,40,121.85%,UNI,1,0,0,N/D,18.03
N/D,GENERAL,GENERAL,GENERAL,F3-3401040-C1,F3-3401040-C1,ROTULA SUSPENSION BYD F3,15,15,28,62.32%,UNI,0,0,0,N/D,0
AUTOEXPRESS,BM,GENERAL,GENERAL,39210-23710,RP-SOX11,SENSOR DE OXIGENO SUPERIOR HYUNDAI TUCSON 2.0 05- 09 / KIA SPORTAGE ACTIVE 2.0 05- (4 CABLES) ( BM ),17.25,15,30,73.91%,UNI,3,0,0,N/D,51.75
N/D,GENERAL,GENERAL,GENERAL,720CV05A001,720CV05A001,TERMINAL DIRECCION EXT CHEVROLET D-MAX 4X4 / 4X2 14- 18 ( MASARU ),3.0783,15,13,322.31%,UNI,6,0,0,N/D,18.47
N/D,GENERAL,GENERAL,GENERAL,56820-2H000,56820-2H000,TERMINAL DIRECCION HYUNDAI ELANTRA E SERIES 08-11 CERATO FORTE 10- I30 08-11 LH ( BESFITS ),8.5739,15,18,109.94%,UNI,1,0,0,N/D,8.57
N/D,GENERAL,GENERAL,GENERAL,FR.21,FR.21,U DE RADIADOR CHEVROLET AVEO EMOTION 2008-2018,37.74,15,60,58.98%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,86518-1Y000,86518-1Y000,VINCHA ( SILVIN ) G.CHOQUE DEL KIA PICANTO R 12-16 RH ( MOBIS ),4.0089,15,25,523.61%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,.,.....................,.............,9.7101,15,16,64.78%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,02-002-22-0328,02-002-22-0328,02-002-22-0328,62.5,15,71.88,15%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,RP-SMP6,RP-SMP6,12591290 / SENSOR DE PRESION DE ADMISION MAP CHEVROLET SPARK GT-BEAT 2018-2023,5.25,15,20,280.95%,UNI,1,0,0,N/D,5.25
AUTOEXPRESS,BM,GENERAL,GENERAL,RP-BG1,RP-BG1,8-82531220-0 / BOMBA DE COMBUSTIBLE DE CHEVROLET D-MAX 2014-2018,8.45,15,15,54.36%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,93742568,93742568,ABRAZADERA CAJA DIRECCION CHEVROLET AVEO 1.4/1.6 / FAMILY 1.5,10,15,18,56.52%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,86520-1R000,86520-1R000,ABSORBEDOR DEL ACCENT 12,95.66071,15,130,35.9%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,86520H9000,86520H9000,ABSORBEDOR DELANTERO KIA RIO 1.4,58.03571,15,90,55.08%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,86520FD000,86520FD000,ABSORBEDOR DELANTERO RIO STYLUS 1.5 RIO STYLUS 1.5 RIO STYLUS 1.5,20,15,40,100%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,9066285,9066285,ABSORBEDOR DELANTERO SAIL S3 1.5,20.5357,15,45,119.13%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,86520-A7800,86520-A7800,ABSORBEDOR GUARDACHOQUE KIA CERATO 17- DEL,20.4464,15,99,384.19%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,86520-0X000,86520-0X000,ABSORBEDOR IMPACTO DELANTERO HYUNDAI I10 09-11 VENDIDO AL GORDO DE CREMALLERA,44.2174,15,70,58.31%,UNI,1,0,0,N/D,44.22
N/D,GENERAL,GENERAL,GENERAL,866202B000,86620-2B000,ABSORBEDOR IMPACTO GCHOQUE DEL SANTA FE 2.4 2.7 ( GENUINE ),52.1739,15,120,130%,UNI,1,0,0,N/D,52.17
N/D,GENERAL,GENERAL,GENERAL,15W40,15W40,ACEITE 15W40,3.125,15,5,60%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,1200093,1200093,ACEITE 20W50 HIDRAULAN GALON,6.8435,15,16,133.8%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,325365,325365,ACEITE 20W50 VISTONY,8.5714,15,18,110%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,1000132,1000132,ACEITE CAJA 80W90 DE 0.946 LT,3.8609,15,7,81.31%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,PTAUGAC20500100,PTAUGAC20500100,ACEITE CLASSIC SAE 20W50 SP 1 GL ( VALVOLINE ),14.74,15,20,35.69%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,AC34567,AC34567,ACEITE GALON 10-30,16.9643,15,19.51,15%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,52812,52812,ACEITE GP FULL SINTETICO ST 5W30 1GALON ( GP ),10.6813,15,20,87.24%,UNI,3,0,0,N/D,32.04
N/D,GENERAL,GENERAL,GENERAL,52811,52811,ACEITE GP FULL SINTETICO ST 5W30 1LITRO ( GP ),2.8708,15,7,143.84%,UNI,2,0,0,N/D,5.74
N/D,GENERAL,GENERAL,GENERAL,52813,52813,ACEITE GP SINTETICO BLEND S/ST 10W30 1LITRO ( GP ),2.4467,15,6,145.23%,UNI,4,0,0,N/D,9.79
N/D,GENERAL,GENERAL,GENERAL,52818,52818,ACEITE GP SINTETICO BLEND S/ST 20W50 1LITRO ( GP ),2.5225,15,6,137.86%,UNI,1,0,0,N/D,2.52
N/D,GENERAL,GENERAL,GENERAL,52819,52819,ACEITE GP SINTETICO BLEND S/ST 20W50 SP 1GALON ( GP ),9.4613,15,20,111.39%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,52824,52824,ACEITE GP VELOX SAE 40 SL 1GALON ( GP ),8.5375,15,20,134.26%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,52823,52823,ACEITE GP VELOX SAE 40 SL 1LITRO ( GP ),2.3108,15,7,202.93%,UNI,7,0,0,N/D,16.18
N/D,GENERAL,GENERAL,GENERAL,06-002-36-0003,06-002-36-0003,ACEITE HIDRAULICO GULF ATF DEXRON III 1LT ( GULF ),4.4,15,8,58.1%,UNI,11,0,0,N/D,48.4
N/D,GENERAL,GENERAL,GENERAL,1000047,1000047,ACEITE HIDRAULICO/TRANSMISION AUTOMATICA - ATF DE 1/4 ( VALVOLINE ),4.14,15,7,69.08%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,2234445,2234445,ACEITE LITRO,2.4107,15,6.16,155.56%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,2333443,2333443,ACEITE LITRO 20W50,2.6786,15,6,124%,UNI,2,0,0,N/D,5.36
N/D,GENERAL,GENERAL,GENERAL,V43036,V43036,ACEITE LUBRICANTE MULTI FUNCION SPRAY 750ML,0.85,15,5,488.23%,UNI,3,0,0,N/D,2.55
N/D,GENERAL,GENERAL,GENERAL,06-002-36-0013,06-002-36-0013,ACEITE MOTOR GULF TEC PLUS 10W30 SN SEMI SINTETICO 1GL ( GULF ),17.04,15,25,27.58%,UNI,6,0,0,N/D,102.24
N/D,GENERAL,GENERAL,GENERAL,06-002-36-0015,06-002-36-0015,ACEITE MOTOR GULF TEC PLUS 20W50 SN SEMI SINTETICO GDI 1GL ( GULF ),16.56,15,25,31.27%,UNI,4,0,0,N/D,66.24
N/D,GENERAL,GENERAL,GENERAL,12114,12114,ACEITE NAPA SAE-40 1GL,15,15,25,44.93%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,PTAUGAC10300100,PTAUGAC10300100,ACEITE SAE 10W30 GL VALVOLINE CLASICO,14.7589,15,20,35.51%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,80W90HIDR,80W90HIDR,ACEITE SAE-90 LITRO HIDRAULAN,3.125,15,6,92%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,9867543,9867543,ACEITE VISTONY 140,4.46429,15,8,79.2%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,283212G000,283212G000,ACTUADOR-VIS HYUNDAI TUCSON G4KD 2.0 SUV_2WD,26.7857,15,55,105.33%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,96827726,96827726,ADAPTADOR DEPURADOR CHEVROLET SPARK 07- ( GM ),3.8,15,10,163.16%,UNI,3,0,0,N/D,11.4
N/D,GENERAL,GENERAL,GENERAL,96408376,96408376,AGARRADERA INT. PANEL TECHO CHEVROLET AVEO EMOTION 1.6,21.2783,15,30,40.99%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,AGUA1,AGUA1,AGUA BATERIA DESTILADA,0.2232,15,1,348.05%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,42571104,42571104,AIRBAG VOLANTE SPARK GT 1.2 BEAT 1.2,47.8261,15,65,35.91%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,72492-65J00-000,72492-65J00-000,AISLANTE GUARDAFANGO DELANTERO GRAND VITARA SZ 2.0 08,31.25,15,60,92%,UNI,1,0,0,N/D,31.25
N/D,GENERAL,GENERAL,GENERAL,1243453466,1243453466,ALARMA UNIVERSAL KIA,16.0714,15,25,55.56%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,1243453464,1243453464,ALARMA UNIVERSAL TOYOTA,22.3214,15,30,34.4%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,1126751,23554664,ALARMA UNIVESAL CHEVROLET ( 24AL056659 ),69.5652,15,100,43.75%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,20733,0010001010638,ALDABA COMPUERTA CHEVROLET LUV 2300 88-90,4.3478,15,8,84%,UNI,2,0,0,N/D,8.7
N/D,GENERAL,GENERAL,GENERAL,0010001010640,0010001010640,ALDABA COMPUERTA TOYOTA HILUX 05- BLANCO,5.4348,15,15,176%,UNI,1,0,0,N/D,5.43
N/D,GENERAL,GENERAL,GENERAL,12645263,12645263,ALDABAS COMPUERTA D-MAX,4.4643,15,15.4,245%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,AL-002,AL-002,ALDABAS D-MAX 3.0 14/-,5.3571,15,15.4,187.5%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,602000870AA,602000870AA,ALETA GUARDAFANGO DEL LH TIGGO 7 PRO,10.7143,15,30,180%,UNI,1,0,0,N/D,10.71
N/D,GENERAL,GENERAL,GENERAL,04-002-08-0064,04-002-08-0064,ALTERNADOR CHEVROLET SPARK 02- 05 / SHINERAY X30L ( ADAPTAR ),85,15,110,12.53%,UNI,0,0,0,N/D,0
N/D,GENUINE,GENERAL,GENERAL,37300-25310,37300-25310,ALTERNADOR KIA CARENS 2.0 12- 15 ( MOBIS ),135,15,340,119%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,37300-2G150,37300-2G150,ALTERNADOR TUCSON IX,75,15,150,73.91%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,1256365,1256365,ALTERNADORTOYOTA COROLLA,89.2857,15,174.55,95.5%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,PTSPROAMBIENTAD,PTSPROAMBIENTAD,AMBIENTADORES UN,0.01,15,1,9900.4%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,344465,344465,AMORTIGUADOR  DELANTERO CHEVROLET COLORADO 4WD 04-12/NISSAN PATHFINDER,22.32143,15,37.5,68%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,KAS-333756,KAS-333756,AMORTIGUADOR  KASHIMA CORSA EVOLUTION  2003-2007 DELANTERO GAS  LH,25.8,15,45,74.42%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,K06-6309010,K06-6309010,AMORTIGUADOR 8LM/700N L/R,8.69565,15,19,118.5%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,324567,324567,AMORTIGUADOR CABINA ISUZU NPR,20.0893,15,40,99.11%,UNI,0,0,0,N/D,0
N/D,MANDO,GENERAL,GENERAL,81161-4D000,03-005-22-0775,AMORTIGUADOR CAPOT KIA GRAND CARNIVAL 12- LH/RH ( MANDO ),10.7143,15,19,54.2%,UNI,0,0,0,N/D,0
AUTOEXPRESS,BM,GENERAL,GENERAL,J52-2915010,RP-AM161,AMORTIGUADOR CHERY ARRIZO 3 1.5 POS L/R GAS ( BM ),11.3025,15,28,115.42%,UNI,2,0,0,N/D,22.61
AUTOEXPRESS,BM,GENERAL,GENERAL,0J52-2905010,RP-AM160,AMORTIGUADOR CHERY ARRIZO 3 A19 1.5 19- DEL LH GAS ( BM ),18.845,15,40,84.57%,UNI,1,0,0,N/D,18.85
AUTOEXPRESS,BM,GENERAL,GENERAL,J52-2905020,RP-AM159,AMORTIGUADOR CHERY ARRIZO 3 A19 1.5 19- DEL RH GAS ( BM ),18.845,15,40,84.57%,UNI,1,0,0,N/D,18.85
N/D,DM - JAPÓN,GENERAL,GENERAL,J60-2905010,AM-DL-05-002,AMORTIGUADOR CHERY ARRIZO 5 1.5 22- / TIGGO 3 18- L DEL GAS,17.95,15,40,93.77%,UNI,1,0,0,N/D,17.95
N/D,DM - JAPÓN,GENERAL,GENERAL,J60-2905020,AM-DR-05-002,AMORTIGUADOR CHERY ARRIZO 5 1.5 22- / TIGGO 3 18- R DEL GAS,17.95,15,40,93.77%,UNI,1,0,0,N/D,17.95
N/D,GENERAL,GENERAL,GENERAL,H09-2905010,H09-2905010,AMORTIGUADOR CHERY Q22 PRACTIVAN DEL LH GAS S/ESPIRAL ( CN AUTO PARTS ),26.687,15,40,49.89%,UNI,1,0,0,N/D,26.69
N/D,GENERAL,GENERAL,GENERAL,H09-2905020,H09-2905020,AMORTIGUADOR CHERY Q22 PRACTIVAN DEL RH GAS S/ESPIRAL ( CN AUTO PARTS ),26.687,15,40,49.89%,UNI,1,0,0,N/D,26.69
N/D,GENERAL,GENERAL,GENERAL,K06-2915010,K06-2915010,AMORTIGUADOR CHERY Q22 PRACTIVAN POS OIL ( CN AUTO PARTS ),14.7217,15,25,69.82%,UNI,2,0,0,N/D,29.44
N/D,GENERAL,GENERAL,GENERAL,32361102,03-005-07-0037,AMORTIGUADOR CHERY TIGGO 2 18 - DEL L GAS ( GSP ),24.9565,15,45,80.31%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,32361101,03-005-07-0038,AMORTIGUADOR CHERY TIGGO 2 18 - DEL R GAS ( GSP ),24.9565,15,45,80.31%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,32461140,03-005-07-0039,AMORTIGUADOR CHERY TIGGO 2 18 - POS L/R ( GSP ),18.2087,15,35,92.22%,UNI,0,0,0,N/D,0
N/D,DM - JAPÓN,GENERAL,GENERAL,J69-2905010,AM-DL-05-001,AMORTIGUADOR CHERY TIGGO 2 18- / TIGGO 2 PRO 20- L DEL GAS,17.51,15,40,98.64%,UNI,0,0,0,N/D,0
N/D,DM - JAPÓN,GENERAL,GENERAL,J69-2905020,AM-DR-05-001,AMORTIGUADOR CHERY TIGGO 2 18- / TIGGO 2 PRO 20- R DEL GAS,17.51,15,40,98.64%,UNI,0,0,0,N/D,0
N/D,DM - JAPÓN,GENERAL,GENERAL,J69-2915010,AM-P-05-001,AMORTIGUADOR CHERY TIGGO 2 18-20 / TIGGO 2 PRO 21- L/R POS GAS,11.38,15,30,129.24%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,ASUR5943170,ASUR5943170,AMORTIGUADOR CHERY TIGGO 5 08 14 DEL LH ( SOKITA ),17.625,15,40,126.95%,UNI,1,0,0,N/D,17.63
N/D,GENERAL,GENERAL,GENERAL,ASUR5943169,ASUR5943169,AMORTIGUADOR CHERY TIGGO 5 08 14 DEL RH ( SOKITA ),17.6225,15,40,126.98%,UNI,1,0,0,N/D,17.62
AUTOEXPRESS,BM,GENERAL,GENERAL,41601-54PA0,RP-AM150,AMORTIGUADOR CHEVROLE SUZUKI S-CROSS 16- DEL LH GAS ( BM ),19.59,15,40,77.55%,UNI,1,0,0,N/D,19.59
AUTOEXPRESS,BM,GENERAL,GENERAL,41602-54PA0,RP-AM149,AMORTIGUADOR CHEVROLE SUZUKI S-CROSS 16- DEL RH GAS ( BM ),19.59,15,40,77.55%,UNI,1,0,0,N/D,19.59
N/D,GENERAL,GENERAL,GENERAL,1006.5,96980824,AMORTIGUADOR CHEVROLET AVEO ACTIVO 05 CHEVY TAXI 05 AVEO FAMILY-EMOTION-SAIL 12 DEL LH GAS ( GM/ARP),31.913,15,65,103.68%,UNI,2,0,0,N/D,63.83
N/D,GENERAL,GENERAL,GENERAL,1006.5,96980825,AMORTIGUADOR CHEVROLET AVEO ACTIVO 05 CHEVY TAXI 05 AVEO FAMILY-EMOTION-SAIL 12 DEL RH GAS,31.913,15,65,103.68%,UNI,2,0,0,N/D,63.83
N/D,GENERAL,GENERAL,GENERAL,96586686,96586686,AMORTIGUADOR CHEVROLET AVEO ACTIVO 05 CHEVY TAXI 05 AVEO FAMILY-EMOTION-SAIL 12 DEL RH GAS ( YOKOBO ),21.4087,15,30,40.13%,UNI,0,0,0,N/D,0
N/D,DM - JAPÓN,GENERAL,GENERAL,96586885,AM-DL-02-001,AMORTIGUADOR CHEVROLET AVEO FAMIL 05- / ACTIVO / EMOTION / SAIL 12- 17 LH DEL GAS,12.4,15,30,110.38%,UNI,2,0,0,N/D,24.8
N/D,DM - JAPÓN,GENERAL,GENERAL,96586886,AM-DR-02-001,AMORTIGUADOR CHEVROLET AVEO FAMIL 05- / ACTIVO / EMOTION / SAIL 12-17 R DEL GAS,12.4,15,30,110.38%,UNI,2,0,0,N/D,24.8
N/D,GENERAL,GENERAL,GENERAL,03-005-08-0027,03-005-08-0027,AMORTIGUADOR CHEVROLET CAPTIVA 08 15 COMPUERTA INSECO,19.6428,15,18,-8.36%,UNI,0,0,0,N/D,0
AUTOEXPRESS,BM,GENERAL,GENERAL,26271790,RP-AM148,AMORTIGUADOR CHEVROLET CAVALIER 1.5 19- POS L/R GAS ( BM ),11.425,15,28,113.11%,UNI,2,0,0,N/D,22.85
N/D,GENERAL,GENERAL,GENERAL,31349902,03-005-08-0632,AMORTIGUADOR CHEVROLET CAVALIER 19 - DEL L GAS ( GSP ),29.887,15,48,60.6%,UNI,1,0,0,N/D,29.89
N/D,GENERAL,GENERAL,GENERAL,31349901,03-005-08-0633,AMORTIGUADOR CHEVROLET CAVALIER 19 - DEL R GAS ( GSP ),29.887,15,48,60.6%,UNI,1,0,0,N/D,29.89
N/D,GENERAL,GENERAL,GENERAL,KAS-333418-O,KAS-333418-O,AMORTIGUADOR CHEVROLET CHEVY TAXI 05 AVEO FAMILY-ACTIVO-EMOTION-SAIL 12 DEL GAS LH ( KASHIMA ),28.4783,15,45,58.01%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,96586885,2000.173,AMORTIGUADOR CHEVROLET CHEVY TAXI 05 AVEO FAMILY-ACTIVO-EMOTION-SAIL 12 DEL GAS LH ( KENZU ),25.513,15,35,37.19%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,KAS-333417-O,KAS-333417-O,AMORTIGUADOR CHEVROLET CHEVY TAXI 05 AVEO FAMILY-ACTIVO-EMOTION-SAIL 12 DEL GAS RH ( KASHIMA ),28.4783,15,45,58.01%,UNI,1,0,0,N/D,28.48
N/D,GENERAL,GENERAL,GENERAL,96586885,2000.7,AMORTIGUADOR CHEVROLET CHEVY TAXI 05 AVEO FAMILY-ACTIVO-EMOTION-SAIL 12 DEL GAS RH ( KENSU ),26.487,15,35,32.14%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,03-005-08-0044,03-005-08-0044,AMORTIGUADOR CHEVROLET CHEVY TAXI 05 AVEO FAMILY-ACTIVO-EMOTION-SAIL 12 DEL GAS RH ( RECORD ),15.5391,15,30,93.06%,UNI,1,0,0,N/D,15.54
N/D,GENERAL,GENERAL,GENERAL,03-005-08-0036,03-005-08-0036,AMORTIGUADOR CHEVROLET CHEVY TAXI 05 AVEO FAMILY-ACTIVO-EMOTION-SAIL 12 DEL OIL LH,22.5269,15,28.24,25.35%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,03-005-08-0047,03-005-08-0047,AMORTIGUADOR CHEVROLET CHEVY TAXI 05 AVEO FAMILY-ACTIVO-EMOTION-SAIL 12 DEL OIL RH,22.5269,15,28.24,25.35%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,03-005-08-0414,03-005-08-0414,AMORTIGUADOR CHEVROLET CHEVY TAXI 05 AVEO FAMILY-ACTIVO-EMOTION-SAIL 12 POS 36X60X10 O-I,21.4286,15,16.43,-23.33%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,22.152.007.042,22.152.007.042,AMORTIGUADOR CHEVROLET CHEVY TAXI 05 AVEO FAMILY-ACTIVO-EMOTION-SAIL 12 POS 36X60X10 O-I GAS ( BESUTO ),10.7826,15,18,66.94%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,96980829AR,96980829AR,AMORTIGUADOR CHEVROLET CHEVY TAXI 05 AVEO FAMILY-ACTIVO-EMOTION-SAIL 12 POS 36X60X10 O-I GAS ( GM ),10.7826,15,20,85.48%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,03-005-08-0048,03-005-08-0048,AMORTIGUADOR CHEVROLET CHEVY TAXI 05 AVEO FAMILY-AVEO ACTIVO-FAMILY POS 36X60X10 O-I OIL ( RECORD ),10.5826,15,20,88.99%,UNI,1,0,0,N/D,10.58
N/D,GENERAL,GENERAL,GENERAL,891579,891579,AMORTIGUADOR CHEVROLET CORSA EVOLUTION 02 POS 28.5X45.5X16 O-I GAS ( COFAP ),20.887,15,28,34.05%,UNI,4,0,0,N/D,83.55
N/D,GENERAL,GENERAL,GENERAL,32306332,32306332,AMORTIGUADOR CHEVROLET CORSA EVOLUTION 03-07 DELANTERO GAS LH ( GSP ),24.8261,15,45,81.26%,UNI,2,0,0,N/D,49.65
