productId,sku,title,handle,status,error
8106670293061,02-001-08-1946,PUERTA DEL CHEVROLET SPARK 02 05 MATIZ L,puerta-del-chevrolet-spark-02-05-matiz-l,failed,request total timeout
8106732126277,02-001-08-1404,REFUERZO GUARDACHOQUE CHEVROLET LUV D-MAX 05-08 DEL SUP ( TYG ),refuerzo-guardachoque-chevrolet-luv-d-max-05-08-del-sup-tyg,failed,request total timeout
8106784456773,10262401750D111A,SENSOR TEMPERATURA ESCAPE DONGFENG ACTIVAN 23-,sensor-temperatura-escape-dongfeng-activan-23,failed,request total timeout
8106794385477,02-002-08-0459,SILVIN CHEVROLET LUV D-MAX 4X4 14 -18 RH FULL ( DEPO ),silvin-chevrolet-luv-d-max-4x4-14-18-rh-full-depo,failed,request total timeout
8106803429445,3527-6587,SILVIN GRAND VITARA XL-7 RH,silvin-grand-vitara-xl-7-rh,failed,request total timeout
8106818633797,02-002-27-0203,SILVIN MITSUBISHI MONTERO SPORT 01 09 RH RIN/GRIS,silvin-mitsubishi-montero-sport-01-09-rh-rin-gris,failed,request total timeout
8106826825797,FA.226,SILVIN TOYOTA HILUX VIGO 2012-2015 LH ( BM ),silvin-toyota-hilux-vigo-2012-2015-lh-bm,failed,request total timeout
8106868015173,06-002-19-0984,TERMOSTATO HYUNDAI ACCENT / VERNA / GETZ / MATRIX / ELANTRA / AVANTE / XCITE / TUCSON / IX / SPORTAGE R / SANTA FE 82-C ( SHAP ),termostato-hyundai-accent-verna-getz-matrix-elantra-avante-xcite-tucson-ix-sportage-r-santa-fe-82-c-shap,failed,request total timeout
8106868080709,06-002-19-0093,TERMOSTATO HYUNDAI ACCENT 1.4/1.6 06 11 ACCENT VERNA,termostato-hyundai-accent-1-4-1-6-06-11-accent-verna,failed,request timeout
8106901733445,GRW-01-064-0017,VINCHA GUARDACHOQUE DEL GREAT WALL WINGLE 7 19- LH ( BEST PARTS ),vincha-guardachoque-del-great-wall-wingle-7-19-lh-best-parts,failed,request total timeout
8106910187589,86514-B4500,VINCHA GUARDACHOQUE HYUNDAI GRAND I10 5P 17- 23 / GRAND I10 4P 17- 21 DEL RH ( MOBIS ),vincha-guardachoque-hyundai-grand-i10-5p-17-23-grand-i10-4p-17-21-del-rh-mobis,failed,request total timeout
8106918903877,866131R000,VINCHA GUARDACHOQUE POSTERIOR LH HYUNDAI ACCENT 12,vincha-guardachoque-posterior-lh-hyundai-accent-12,failed,request total timeout
